MODELO;DESCRIPCIÓN;MEDIDA;UdM;MARCA;ALMACÉN;FILA;CONDICION;STOCK MIN;CANTIDAD;Precio unitario COMPRA;Precio Total;.;SOLICITAR
F00214N00;Bomba Neumática  P3.5:1 Aceite;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;4;4415;17660;2;hay suficiente
F15176000;"NIPLE 1"" A 1"" PARA UREA";;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;6;176.22;1057.32;2;hay suficiente
F00611D30;Filtro  de urea;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;1;2396;2396;1;solicitar material
F0044601B;Valvula GPV 2.0;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;1;15929;15929;1;solicitar material
-;Valvulas GPV USADAS;;Pieza;PIUSI;ESTANTE 1;;USADO;1;1;0;0;1;solicitar material
-;Valvulas GPV DAÑADAS;;Pieza;PIUSI;ESTANTE 1;;DAÑADO;1;4;0;0;2;hay suficiente
F0020310H;Bomba electrica diafragma  MA180;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;2;6783;13566;2;hay suficiente
F00973150;Pistola Cuenta Litros K40 mecanica;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;1;4900;4900;1;solicitar material
F0061903;Pistola UREA A60;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;3;5692;17076;2;hay suficiente
Topes para carrete;Topes de carrete;;Pieza;MILAS;ESTANTE 1;3;USADO;1;6;0;0;2;hay suficiente
F00984260;Pistola Sin cuenta litros (sin boquilla) K400;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;1;4934;4934;1;solicitar material
L1023;Bomba diafragma para aceite L1023;;Pieza;WINTEK;ESTANTE 1;4;NUEVO;1;0;8239;0;1;solicitar material
L3723;Bomba diafragma para urea;;Pieza;WINTEK;ESTANTE 1;4;NUEVO;1;1;8117;8117;1;solicitar material
L4250;"FRL 1/2"" ";"1/2""";Pieza;WINTEK;ESTANTE 1;4;NUEVO;1;2;946;1892;2;hay suficiente
Para aceite 353120  3:1;Bomba Aceite 3:1  353120;;Pieza;Samson;ESTANTE 1;4;NUEVO;1;0;9492;0;1;solicitar material
K225-AM;Caja con piezas Samson (KIT VALVULE AIR);;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;0;0;2;hay suficiente
-;Seal Ring 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;Gasket 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;CUSHION 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;BALL 25N 90 DUF;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
-;PILOT VALVE ASSY 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;GK4;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;4;;;2;hay suficiente
-;GK2;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;4;;0;2;hay suficiente
-;CUSHION 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;V-PACKING 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;PACKING 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;ORING 23.47 MM X 2.62 MM;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;THROAT BEARING 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;Gasket 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;Gasket 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;SPRING 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;PILOT VALVE SEAT 20/25;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;ORING 23.3 MM X 2.4 MM;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;ORING 44.5 MM X 3 MM;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
-;ORING 46 MM X 3.5 MM;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
-;"HOSE STOP 1/2"" ID";;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;GKS;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;4;;0;2;hay suficiente
-;ORING 11 MM X 2.5 MM;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;ORING 7.5 MM X 2 MM;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;2;;0;2;hay suficiente
-;AK3;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;4;;0;2;hay suficiente
-;INLET FILTER KIT;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;3;;0;2;hay suficiente
-;PM2 AIR MOTOR;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
-;3:1 PACKING REPAIR KIT;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
-;KIT 2 DIAFRAGMAS;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
-;CILINDRO MOTOR BOMBA ACEITE;;Pieza;Samson;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
Regulador de voltaje;Regulador;;Pieza;Koblenz;ESTANTE 1;3;NUEVO;1;0;600;0;1;solicitar material
FRL-FR015;Filtro Regulador 1/4 ;"1/4""";Pieza;Weston;ESTANTE 1;3;NUEVO;1;4;354;1416;2;hay suficiente
Graco;Pistola de Alto Flujo Graco;;Pieza;Graco;ESTANTE 1;3;USADO;1;1;;0;1;solicitar material
CAT5E-100;Cable UTP;;METRO;STEREN;ESTANTE 1;3;USADO;1;0;900;0;1;solicitar material
207385;KIT GRACO bomba 3:1;;PIEZA;Graco;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
204-164;KIT GRACO;;PIEZA;Graco;ESTANTE 1;3;NUEVO;1;1;;0;1;solicitar material
2644;VALVULA ANTIRETORNO;"4""";PIEZA;FLEXIMATIC;ESTANTE 1;3;USADO;1;1;;0;1;solicitar material
-;TAPAS PARA TOTE DE 1000;;PIEZA;MILAS;ESTANTE 1;3;NUEVO;1;7;;0;2;hay suficiente
-;TAPAS PARA TOTE DE 1000 ARMADAS;;PIEZA;MILAS;ESTANTE 1;3;NUEVO;1;3;;0;2;hay suficiente
-;Pistola Sin cuenta litros  ;;PIEZA;;ESTANTE 1;4;USADO;1;1;;0;1;solicitar material
-;Boquilla automatica;;PIEZA;;ESTANTE 1;4;USADO;1;1;;0;1;solicitar material
-;Valvula Solenoide ;;PIEZA;Cematic;ESTANTE 1;4;USADO;1;1;;0;1;solicitar material
GL-1-2;INYECTOR TIPO BOTELLA ;;PIEZA;Graco;ESTANTE 1;4;USADO;1;1;;0;1;solicitar material
GL-1 ;INYECTOR  ;;PIEZA;;ESTANTE 1;4;NUEVO;1;1;;0;1;solicitar material
-;KIT LINCON;;PIEZA;;ESTANTE 1;4;USADO;1;0;;0;1;solicitar material
L1710;BOMBA MANUAL ROTATIVA DIESEL/ ACEITE;;PIEZA;WINTEK;ESTANTE 1;4;NUEVO;1;2;950;1900;2;hay suficiente
L1803;PISTOLA DIGITAL CUENTA LITROS BOQUILLA AUTOMATICA;;PIEZA;WINTEK;ESTANTE 1;4;NUEVO;1;3;1892;5676;2;hay suficiente
B331107;Swivel Z ;"1/4""";PIEZA;Alemite;ESTANTE 1;4;NUEVO;1;2;;0;2;hay suficiente
Medidor digital chino (caja blanca);Medidor Digital Chino;;PIEZA;Chino;ESTANTE 1;4;USADO;1;3;;0;2;hay suficiente
F00808P10;Bomba de Diafragma;;PIEZA;PIUSI;ESTANTE 1;3;NUEVO;1;1;7322;7322;1;solicitar material
Base de metal;Base ancha Bomba y Carrete;;PIEZA;MILAS;ESTANTE 1;5;NUEVO;1;0;1100;0;1;solicitar material
Base de metal;Base delgada Bomba ;;PIEZA;MILAS;ESTANTE 1;5;NUEVO;1;4;800;3200;2;hay suficiente
A200;Conector Rápido  A200  Polipropileno Cuerda Normal;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;15;;0;2;hay suficiente
A200;Conector Rápido  A200  Aluminio Cuerda Normal;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
A200;Conector Rápido  A200 Polipropileno Cuerda Ancha;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;7;191;1337;2;hay suficiente
F200;Conector Rápido  F200 Polipropileno;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;0;;0;1;solicitar material
DC200;Conector Rápido DC200 Polipropileno;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;0;;0;1;solicitar material
DC200;Conector Rápido DC200 Aluminio;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
D200;Conector Rápido D200 Polipropileno;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;18;;0;2;hay suficiente
B200;Conector Rapido B200 Aluminio;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
B200;Conector Rápido B200 Polipropileno;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;8;;0;2;hay suficiente
DP100;Tapón DP Polipropileno;"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
C100;Conector Rápido C100 Polipropileno;"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
F100;Conector Rápido F100 Polipropileno;"1""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
DC100;Conector Rápido DC100 Polipropileno;"1""";PIEZA;;ESTANTE 2;;NUEVO;1;0;;0;1;solicitar material
D075;Conector Rápido D075 Polipropileno;"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
C150;Conector Rápido C150 Aluminio;"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"2"" PVC ";;;;;;;;;;0;0;sin dato stock minimo
-;COLPLES ROSCADOS PVC C80;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;COPLES ROSCADOS POLIPROPILENO;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"REDUCCION BUSHING 2""-1 1/2"" PVC C80";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"NIPLE 2"" PVC C80";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"REDUCCION BUSHING 2""-3/4"" PVC C80";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"REDUCCION BUSHING 2""-1"" PVC C80";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"REDUCCION BUSHING 2""-1/2"" PVC C80";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;TEE ROSCADA PVC C80;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"COPLE REDUCCION DE 2""-1"" PVC C80";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;CODO 90  ROSCADO PVC C80;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;CODO 90 CEMENTADO PVC C80;"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"NIPLE ROSCADO 1 1/2"" PVC C80 ";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"TUERCA UNION 1 1/2"" PVC C80 CEMENTADO";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"COPLE CEMENTADO 1 1/2"" PVC C80";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"REDUCCION BUSHING DE 2""-1""";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"1""-3/4"" PVC C80 CEMENTADO";;;;;;;;;;0;0;sin dato stock minimo
-;"CODO 90 1/2"" PVC C80 CEMENTADO";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"CODO 90 PVC C80 CEMENTADO 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"CODO 45 PVC C80 CEMENTADO 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"TUERCA UNION PVC C80 CEMENTADA 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TEE PVC C80 CEMENTADA 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;0;;0;1;solicitar material
-;"COPLE PVC C80 CEMENTADA 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"CODO 90 PVC C80 CEMENTADO 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;"CODOS 45 PVC C80 CEMENTADO 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"COPLE PVC C80 CEMENTADO 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"1 1/2""-2"" Galvanizado";;;;;;;;;;0;0;sin dato stock minimo
-;"TEE 2"" GALVANIZADO";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"COPLE 2"" GALVANIZADO";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"CODO 45 2"" GALVANIZADO";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TUERCA UNION 1 1/2"" GALVANIZADO";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"CODOS 90 1 1/2"" GALVANIZADO";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"NIPLES 1 1/2"" GALVANIZADO";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"TAPON 1 1/2"" GALVANIZADO";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"NIPLE 2"" GALVANIZADO";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"NIPLE BOTELLA2"" GALVANIZADO";"2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"1"" ";;;;;;;;;;0;0;sin dato stock minimo
-;"NIPLES 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;23;;0;2;hay suficiente
-;"CODO 90 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"CODO PIPA 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;8;;0;2;hay suficiente
-;"CODO REDUCTOR DE 1""-3/4"" GALVANIZADO";"1""-3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"COPLES 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"COPLE 1"" 300 LIBRAS";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TUERCA UNION 1"" 300 LIBRAS";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"TUERECA UNION 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TEE 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TAPON 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;CODO 45 300 LIBRAS;"1""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"CONECTOR FLEER DE 1"" ";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-; ACERO INOXIDABLE (REDUCCIONES Y ESPIGAS);;;;;;;;;;0;0;sin dato stock minimo
-;"REDUCCION BUSHING 2""-3/4"" ACERO INOXIDABLE";"2""-3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;8;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 2""-1"" ACERO INOXIDABLE";"2""-1""";PIEZA;;ESTANTE 2;;NUEVO;1;9;;0;2;hay suficiente
-;"TEE 1"" ACERO INOXIDABLE";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"REDUCCION BUSHING DE 1""-1/2"" ACERO INOXIDABLE";"1""-1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 3/4""-1/2"" ACERO INOXIDABLE";"3/42-1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"ESPIGA DE 1/2"" ACERO INOXIDABLE";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"ESPIGA DE 3/4"" ACERO INOXIDABLE";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;CONEXIONES ACERO INOXIDABLE;;;;;;;;;;0;0;sin dato stock minimo
-;"CODO 90 1"" ACERO INOXIDABLE";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;11;;0;2;hay suficiente
-;"NIPLES 1"" ACERO INOXIDABLE";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;11;;0;2;hay suficiente
-;"CODOS 90 3/4"" ACERO INOXIDABLE";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;7;;0;2;hay suficiente
-;"NIPLES 3/4"" ACERO INOXIDABLE";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;7;;0;2;hay suficiente
-;"FILTRO EN Y 3/4"" ACERO INOXIDABLE";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;ADAPTADOR BSP A NPT ;"1""";PIEZA;PIUSI;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"3/4"" GALVANIZADO Y 150 LIBRAS";;;;;;;;;;0;0;sin dato stock minimo
-;"CODO 90 3/4"" GALVANIZADO";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;10;;0;2;hay suficiente
-;"CODO REDUCTOR DE 3/4""-1/2"" GALVANIZADO";"3/4""-1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"COPLES 3/4"" GALVANZADO";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;7;;0;2;hay suficiente
-;"CODO 45 3/4"" 150 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;"CODO 90 3/4"" 150 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;"TUERCA UNION 3/4"" GALVANIZADO";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;NIPLES 3/4 GALVANIZADO;"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;6;;0;2;hay suficiente
-;"TAPONES 3/4"" GALVANIZADO";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;"TEE 3/4"" 150 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"COPLES 3/4"" 150 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"CONECTORES FLEER 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"TEE 3/4"" GALVANIZADO";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"3/4"" 300 LIBRAS";;;;;;;;;;0;0;sin dato stock minimo
-;"TEE 3/4"" 300 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"CODOS 90 3/4"" 300 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;14;;0;2;hay suficiente
-;"TUERCA UNION 3/4"" 300 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"COPLES 3/4"" 300 LIBRAS";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"CODO CON CUERDA DE AMBOS EXTREMOS 3/4"" ";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"1/2"" GALVANIZADO Y 150 LIBRAS";;;;;;;;;;0;0;sin dato stock minimo
-;"1/2"" 300 LIBRAS";;;;;;;;;;0;0;sin dato stock minimo
-;"NIPLES DE 1/2"" 300 LIBRAS";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;8;;0;2;hay suficiente
-;"CONECTOR FLEER 1/2""";;PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"TEE 1/2"" 300 LIBRAS";;PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TUERCA UNION 1/2"" 300 LIBRAS";;PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"CONECTOR RAPIDO HERMBRA 1/2""";;PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"COPLE DE 1/2"" 300 LIBRAS";;PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;REDUCCIONES ;;;;;;;;;;0;0;sin dato stock minimo
-;"REDUCCION BUSHING DE 2"" A 1 1/2""";"2""-1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 2"" A 1""";"2""-1""";PIEZA;;ESTANTE 2;;NUEVO;1;7;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 2"" A 3/4""";"2""-3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;6;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 1"" A 3/4""";"1""-3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;12;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 1"" A 1/2""";"1""-1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 3/4"" A 1/2"" ";"3/4""-1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;33;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 1/2"" A 3/8""";"1/2""-3/8""";PIEZA;;ESTANTE 2;;NUEVO;1;11;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 1/2"" A 1/4""";"1/2""-1/4""";PIEZA;;ESTANTE 2;;NUEVO;1;13;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 3/4"" A 3/8""";"3/4""-3/8""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"REDUCCION BUSHING DE 3/8"" A 1/4""";"3/8""-1/4""";PIEZA;;ESTANTE 2;;NUEVO;1;8;;0;2;hay suficiente
-;"REDUCCION CAMPANA DE 1/2"" A 1/4""";"1/2""-1/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"REDUCCION CAMPANA DE 1/2"" A 3/8""";"1/2""-3/8""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;ESPIGAS;;;;;;;;;;0;0;sin dato stock minimo
-;"NIPLE BOTELLA 3/4"" GALVANIZADO";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;13;;0;2;hay suficiente
-;"NIPLE BOTELLA 1"" GALVANIZADO";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"ESPIGA PVC C80 1 1/2""";"1 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"ESPIGA PVC C80 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;7;;0;2;hay suficiente
-;"ESPIGA PVC C80 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"ESPIGA DE LATON 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"ESPIGA DE LATON 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"ESPIGA DE LATON 1/2""";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"NIPLE BOTELLA DE 1/2"" GALVANIZADO";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"TRIPLE ESPIGA PVC C80 3/4""";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;VALVULAS;;PIEZA;;ESTANTE 2;;NUEVO;1;0;;0;1;solicitar material
